"id_data","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","garasi","kota","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr"
"JKS0655",15000000000,385,500,4,5,"ada","Jakarta Selatan",38961038.96,30000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0656",1870000000,22,90,3,2,"tidak_ada","Jakarta Selatan",85000000,20777777.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0657",17500000000,800,800,5,5,"tidak_ada","Jakarta Selatan",21875000,21875000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0658",39000000000,450,650,7,5,"ada","Jakarta Selatan",86666666.67,60000000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"JKS0659",6500000000,399,350,4,3,"ada","Jakarta Selatan",16290726.82,18571428.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0660",12000000000,615,450,4,4,"ada","Jakarta Selatan",19512195.12,26666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0661",8800000000,527,600,3,3,"tidak_ada","Jakarta Selatan",16698292.22,14666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0662",7730000000,225,245,3,3,"ada","Jakarta Selatan",34355555.56,31551020.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0663",500000000,60,60,2,1,"tidak_ada","Jakarta Selatan",8333333.33,8333333.33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"JKS0664",14400000000,474,450,4,3,"ada","Jakarta Selatan",30379746.84,32000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0665",11000000000,180,415,4,5,"ada","Jakarta Selatan",61111111.11,26506024.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0666",5500000000,144,325,3,4,"tidak_ada","Jakarta Selatan",38194444.44,16923076.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0667",16000000000,350,600,4,4,"tidak_ada","Jakarta Selatan",45714285.71,26666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0668",11200000000,246,345,6,5,"ada","Jakarta Selatan",45528455.28,32463768.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0669",5500000000,214,245,5,3,"tidak_ada","Jakarta Selatan",25700934.58,22448979.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0670",6500000000,250,214,4,3,"tidak_ada","Jakarta Selatan",26000000,30373831.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0671",16500000000,472,650,4,3,"ada","Jakarta Selatan",34957627.12,25384615.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0672",10500000000,230,300,10,10,"ada","Jakarta Selatan",45652173.91,35000000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
