"id_data","nomor_sumber","nama_rumah","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","jumlah_garasi","garasi","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr_jumlah_garasi","flag_outlier_iqr"
"RMT0621",622,"Rumah Dijual Di Tebet",9000000000,162,250,4,3,2,"ada",55555555.56,36000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0622",623,"Rumah Tinggal Area Tebet",12000000000,404,385,4,3,0,"tidak_ada",29702970.3,31168831.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0623",624,"Rumah Mewah Di Prime Area Tebet",12000000000,198,350,7,5,4,"ada",60606060.61,34285714.29,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"RMT0624",625,"Rumah Tua Hitung Tanah Di Prime Area. TERMURAH Di TEBET !",22000000000,852,600,5,5,4,"ada",25821596.24,36666666.67,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"RMT0625",626,"Rumah Bagus Siap Huni Dekat Casablanca. TERMURAH Di TEBET !",3500000000,190,300,6,6,3,"ada",18421052.63,11666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"RMT0626",627,"Rumah Siap Huni Dan Tanah Kosong Tebet Barat",15000000000,385,200,5,5,0,"tidak_ada",38961038.96,75000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0627",628,"Rumah Lama Di Tebet. MURAH. Best Investment !",3850000000,224,160,4,3,1,"ada",17187500,24062500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0628",629,"Komplek Bukit Duri Permai",9800000000,319,759,4,4,4,"ada",30721003.13,12911725.96,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"RMT0629",630,"Rumah Bagus Siap Huni JUAL CEPAT ! Tebet Utara",8900000000,300,300,5,4,2,"ada",29666666.67,29666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"RMT0630",631,"Rumah Cantik Siap Huni Dalam Komplek. JUAL CEPAT ! Tebet Barat",4700000000,102,280,4,3,3,"ada",46078431.37,16785714.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
