"model","repeat_id","fold_id","n_test","mae","rmse","rmsle","r2","mape","prediksi_negatif_sebelum_batas"
"spline_log",3,7,90,5343662463.20539,9060800179.35325,0.406052521193031,0.639431619129011,36.4778581560336,0
"random_forest_log",3,7,90,5438383063.9326,9380171626.2976,0.397347064045156,0.613565312371982,36.6982012099564,0
"linear_raw",3,8,90,5765327718.11053,9821727774.92925,3.66410638704314,0.505813405148923,43.3520410703561,3
"linear_log",3,8,90,5355245462.38611,8698989884.19894,0.424328776379485,0.61233836175145,38.2775926172017,0
"spline_log",3,8,90,5456906414.76973,9029739788.84925,0.428800305654152,0.58229887412799,38.4596166967469,0
"random_forest_log",3,8,90,5088646048.31493,8701442410.01339,0.415043577814346,0.612119742299927,36.6252146381939,0
"linear_raw",3,9,90,5735990476.14807,9886984206.39186,3.01322759046861,0.467819179253553,45.7489089195434,2
"linear_log",3,9,90,4927448838.26269,8851634604.0648,0.426112703361147,0.573441604631657,38.2214823447523,0
"spline_log",3,9,90,4896283443.49373,8562893556.97839,0.434288077102858,0.600816456459692,38.3234133009731,0
"random_forest_log",3,9,90,4889318106.05686,8652184425.73306,0.428277251218009,0.592447957220965,39.6978564290352,0
"linear_raw",3,10,90,6552414993.13753,13786677859.7401,2.11340228523491,0.442996343571016,36.9682726008475,1
"linear_log",3,10,90,5945082675.10899,12109293771.9099,0.400721821460291,0.570289049807402,33.23796829996,0
"spline_log",3,10,90,6093119767.13371,12892418630.6712,0.404139670464746,0.512911822802107,33.5373782928134,0
"random_forest_log",3,10,90,6070937552.67069,12507860025.0002,0.420933660582975,0.54153644779412,33.9609150786979,0
"linear_raw",4,1,100,4731850827.46754,8587176406.43296,0.441321191508809,0.828013031017638,39.2315213298728,0
"linear_log",4,1,100,4864710106.79065,9611927537.34509,0.394087963657977,0.784515642361187,33.78575740943,0
"spline_log",4,1,100,4431229781.75178,7462001600.41449,0.390803166530051,0.870131014174142,33.5241586752697,0
"random_forest_log",4,1,100,5766792552.05443,13642038222.6315,0.431840814085723,0.565936470588011,37.775879690263,0
"linear_raw",4,2,100,6294288059.10866,14502080617.0963,0.432804527464326,0.704221617953488,41.2935664805319,0
"linear_log",4,2,100,6320432827.62404,14491458606.7422,0.408086900747781,0.704654743452138,36.7286515350465,0
"spline_log",4,2,100,6342475553.2063,15696675938.8713,0.413773634431462,0.653485682797925,36.8563432008747,0
"random_forest_log",4,2,100,6229181400.81889,16718541725.9444,0.416542021136062,0.606900414623018,36.5115783287188,0
"linear_raw",4,3,100,7381353836.56447,19301202658.5254,2.11387103431432,0.433379833764417,38.8640954814678,1
"linear_log",4,3,100,7045585901.71996,18014471871.1414,0.407454499707282,0.506409997527416,33.7337148519922,0
"spline_log",4,3,100,7042420676.10764,18489665752.8084,0.415360505102251,0.480026266002512,33.400576039564,0
"random_forest_log",4,3,100,6914351861.54283,18007699513.1702,0.400850087472623,0.506781048077413,32.7403460501117,0
"linear_raw",4,4,91,5482217903.98875,12880962516.024,2.07751658590728,0.61908387664369,40.5638387411916,1
